,importance
Cases_lag1,0.7896124900461942
Cases_lag2,0.02682656770908556
Precip_lag8,0.009297842962970693
Cases_lag10,0.008942081242833378
Precip_lag10,0.008891784023827357
Cases_lag11,0.0057389501815623
Precip_lag11,0.005444681693687106
Precip_lag15,0.005149853895748673
Tmax_lag12,0.004869384005132981
HI_lag10,0.00486574531091105
Tmean_lag12,0.004801980845756968
Tmean_lag8,0.004517677051279992
Tmin_lag12,0.0041144526768367145
Precip_lag2,0.004102408806073033
Tmin_lag15,0.004000041928951307
Humidity_lag10,0.003951223930514351
Cases_lag4,0.003938308498616729
Tmax_lag11,0.003061732322800552
Tmax_lag8,0.003033720647530218
CI_lag8,0.0027628584221320355
Cases_lag12,0.0027059588439388564
CI,0.002637866116034414
Humidity_lag15,0.0025895684803581057
Tmin_lag11,0.002518475081290408
Cases_lag15,0.0025026862718577785
Humidity_lag1,0.0023515901521186564
Precip_lag12,0.0023471797340349466
Precip_lag4,0.0022759908206477757
HI,0.0021776278228177797
CI_lag10,0.0021523197058546215
Tmin_lag8,0.002071852506351218
BI_lag15,0.0020655232711260427
Humidity,0.002048855272426535
Precip_lag1,0.002042304338975717
Tmin_lag4,0.0019294163273477643
Humidity_lag2,0.001883866836313503
Tmean_lag11,0.0018643370618018045
Tmax_lag10,0.0018453237788766143
Humidity_lag8,0.001830106595007854
Precip,0.0018072560076844524
BI_lag10,0.0017023745847860895
HI_lag1,0.0016688874646336822
Tmean_lag1,0.0016238400836660668
CI_lag1,0.0015994223381788333
Cases_lag8,0.001582567364643875
Tmin,0.0015743023796912549
Tmin_lag1,0.0015634656514425557
Tmax_lag4,0.0015311527547230653
CI_lag11,0.0014429210530622547
Tmean_lag10,0.0014148793049282924
CI_lag15,0.0013738044656969152
BI,0.0013483423957626473
Tmean_lag4,0.0012797968130547372
Tmax_lag1,0.0012776046783402354
Tmean_lag15,0.0012506777343477052
BI_lag8,0.0012487072299830419
Humidity_lag11,0.0012393505088316855
Humidity_lag12,0.001206023179965112
Tmin_lag10,0.00116983032782852
HI_lag15,0.0011576514941878595
BI_lag11,0.0011159783056352577
Humidity_lag4,0.0011098467603819935
CI_lag2,0.0010968377860200195
Tmax_lag2,0.0010910147643318862
HI_lag2,0.0010845621485244031
BI_lag1,0.0010705222184560553
Tmean,0.0010248577150259058
BI_lag2,0.0010246890812264005
HI_lag8,0.0009935845072575815
CI_lag4,0.0009722133105985811
Pressure,0.0009297310020874285
CI_lag12,0.0009144428522762371
BI_lag12,0.0008898266710581781
Tmax_lag15,0.0008762600656579912
HI_lag11,0.0008624492909969617
HI_lag4,0.0008337900081111039
Windspeed,0.0008007860041501771
HI_lag12,0.000757593084874587
BI_lag4,0.0007505934492810638
Tmean_lag2,0.00071819701968267
Tmin_lag2,0.0006450066307985447
Tmax,0.0006097242885025016
PopDensity_km2,0.0
