dtype,n_unique,missing_sum,is_numeric,is_categorical,sample_values
datetime64[ns],5479,0,False,False,"[numpy.datetime64('2010-01-01T00:00:00.000000000'), numpy.datetime64('2010-01-02T00:00:00.000000000'), numpy.datetime64('2010-01-03T00:00:00.000000000'), numpy.datetime64('2010-01-04T00:00:00.000000000'), numpy.datetime64('2010-01-05T00:00:00.000000000')]"
object,22,0,False,True,"['Changhua County', 'Chiayi City', 'Chiayi County', 'Hsinchu City', 'Hsinchu County']"
float64,281,0,True,False,"[0.0, 1.0, 2.0, 3.0, 4.0]"
float64,9184,17364,True,False,"[1015.43, 1014.83, 1014.78, 1013.69, 1012.14]"
float64,6332,936,True,False,"[18.36, 17.83, 18.67, 17.96, 17.79]"
float64,5851,912,True,False,"[13.8, 13.4, 15.3, 16.2, 16.4]"
float64,5903,928,True,False,"[23.6, 23.5, 25.5, 21.1, 20.6]"
float64,9093,0,True,False,"[70.96, 83.88, 87.86, 94.05, 89.84]"
float64,5337,27,True,False,"[1.99, 1.26, 1.11, 1.14, 1.45]"
float64,3127,0,True,False,"[0.0, 0.06, 0.32, 0.08, 0.34]"
float64,19005,87,True,False,"[1.0, 0.0, 1.3333333333333333, 0.5, 0.615375]"
float64,18330,87,True,False,"[1.0, 0.0, 1.3333333333333333, 0.5, 0.490375]"
float64,27763,94,True,False,"[2.4025, 0.0, 2.259, 3.3176666666666663, 1.7855]"
float64,22,0,True,False,"[1129.7251627208354, 4509.342039176294, 253.24895769765283, 4292.527573529412, 428.59982253771074]"
